"nombre","fabricante","estanteria","calorias","proteinas","grasa","sodio","fibra","carbohidratos","azucar","potasio","vitaminas","peso","valoracion.adultos","valoracion.jovenes"
"Rice Krispies","Kelloggs","Baja",110,2,0,290,0,22,3,35,25,28.35,40.56,40.99
"Shredded Wheat","Nabisco","Baja",80,2,0,0,3,16,0,95,0,23.53,68.24,66.69
"Shredded Wheat 'n'Bran","Nabisco","Baja",90,3,0,0,4,19,0,140,0,28.35,74.47,72.3
"Shredded Wheat spoon size","Nabisco","Baja",90,3,0,0,3,20,0,120,0,28.35,72.8,71.33
"Smacks","Kelloggs","Media",110,2,1,70,1,9,15,40,25,28.35,31.23,44.64
"Special K","Kelloggs","Baja",110,6,0,230,1,16,3,55,25,28.35,53.13,52.62
"Strawberry Fruit Wheats","Nabisco","Media",90,2,0,15,3,15,5,90,25,28.35,59.36,58.79
"Total Corn Flakes","General Mills","Alta",110,2,1,200,0,21,3,35,100,28.35,38.84,34.07
"Total Raisin Bran","General Mills","Alta",140,3,1,190,4,15,14,230,100,42.53,28.59,28.12
"Total Whole Grain","General Mills","Alta",100,3,1,200,3,16,3,110,100,28.35,46.66,43.59
"Triples","General Mills","Alta",110,2,1,250,0,21,3,60,25,28.35,39.11,37.1
"Trix","General Mills","Media",110,1,1,140,0,13,12,25,25,28.35,27.75,38.42
"Wheat Chex","Ralston Purina","Baja",100,3,1,230,3,17,3,115,25,28.35,49.79,46.3
"Wheaties","General Mills","Baja",100,3,1,200,3,17,3,110,25,28.35,51.59,52.23
"Wheaties Honey Gold","General Mills","Baja",110,2,1,200,1,16,8,60,25,28.35,36.19,39.39
